Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP32 GFLOPS_Target
40,35,100,486,550,116.2
32,17,246,1303,327,217.1
55,25,67,181,594,47.52
16,250,471,11800,1582,10770
40,35,104,716,600,576
55,150,470,1400,602,462.3
28,100,398,5200,930,3625
55,12,67,181,450,36
28,30,87,1020,980,376.3
14,65,208,5000,931,2588
14,185,232,5700,1100,5530
55,14,121,314,500,80
28,225,352,4313,900,3226
28,100,107,930,300,76.8
45,133,168,372,500,240
28,15,110,1178,400,102.4
7,100,158,6400,1327,4632
40,18,67,370,625,200
16,100,314,7200,1278,6480
55,189,470,1400,610,622.1
40,20,104,716,485,465.6
14,40,132,3300,1303,1555
40,80,137,826,750,960
40,35,238,1170,675,388.8
40,170,332,1950,823,1263
40,31,57,260,589,44.86
12,115,445,10800,1215,6636
28,250,561,7080,863,4156
55,10,146,514,450,288
12,31,200,4700,1395,2822
65,20,85,180,525,42
28,100,294,3540,601,1615
28,200,352,4313,827,3344
28,65,245,2410,720,737.3
16,150,322,5700,911,4198
65,45,153,390,700,168
55,150,256,956,625,1000
40,30,166,1040,628,1005
40,100,529,3100,405,518.4
40,50,166,1040,675,1080
40,35,116,585,753,289.2
40,102,332,1950,776,894
40,11,57,260,535,39.36
40,26,334,2154,600,480
40,29,79,292,810,155.5
28,225,294,3540,745,2289
7,400,826,54200,1095,19490
28,30,148,1870,837,672.8
14,15,210,4940,300,422.4
40,19,59,292,650,104
12,80,545,13600,735,5990
14,185,232,5700,1257,6129
55,160,256,956,750,1200
28,170,294,3540,993,2812
32,35,227,1178,400,128
80,12,127,210,400,25.6
40,170,332,1950,823,1263
40,33,144,727,506,97.15
7,400,826,54200,900,13890
40,35,104,716,598,574.1
40,60,118,716,650,624
12,250,815,21100,1230,14130
28,50,118,1270,835,729.6
28,250,561,7080,863,4156
28,110,212,2800,925,2496
28,75,221,2540,797,1326
40,39,104,627,650,520
80,20,169,289,470,60.16
40,45,118,716,600,576
45,13,66,123,400,12.8
28,65,221,2540,824,949.2
7,180,335,17200,1489,10370
28,140,221,2540,980,1981
12,60,200,4700,1575,3656
14,150,232,5700,1168,5095
40,23,116,585,560,215
40,250,529,3100,701,1345
40,18,67,370,625,200
28,55,118,1270,745,572.2
14,150,232,5700,1120,5682
32,20,246,1303,424,141.8
40,65,238,1170,810,466.6
12,250,815,21100,1327,15670
32,35,246,1303,496,335.4
55,25,67,181,600,48
28,235,561,7080,732,3935
14,40,132,3300,1329,1196
28,33,87,1020,641,492.3
28,18,56,690,955,659.2
28,45,118,1270,810,622.1
40,40,116,585,640,245.8
7,200,360,15300,1825,12150
40,24,166,1040,500,800
55,95,256,956,575,736
12,250,754,18600,1350,13450
40,151,334,2154,725,2088
65,35,153,390,594,142.6
32,65,227,1178,444,284.2
40,20,67,370,750,240
32,100,246,1303,844,648.2
40,106,238,1170,783,601.3
28,100,294,3540,941,2599
28,75,148,1870,1029,1389
16,75,200,4400,1000,3822
80,30,127,210,459,29.38
28,100,294,3540,719,2038
28,148,398,5200,1050,3920
7,150,251,10300,1130,7188
65,20,85,180,525,42
40,20,79,292,900,172.8
40,108,166,1040,850,1360
32,35,246,1303,496,389.1
55,286,256,956,750,1200
28,75,398,5200,823,1892
12,250,815,21100,1312,15670
40,219,520,3000,732,1405
28,50,56,690,1030,659.2
28,122,294,3540,771,2448
28,50,77,950,920,588.8
12,50,200,4700,1395,2957
16,250,471,11800,1506,12630
40,23,100,486,575,121.4
12,15,350,9000,854,1058
40,18,57,260,520,39.36
55,25,67,181,600,48
55,20,146,514,675,432
28,30,77,950,650,448
16,100,314,7200,1114,4401
55,125,260,754,600,336
40,30,104,716,600,576
40,150,332,1950,650,873.6
40,33,116,585,660,253.4
40,45,118,716,600,576
14,15,210,4940,300,460.8
28,150,212,2800,925,1997
28,300,596,8900,975,7987
40,69,144,727,550,257.3
40,250,520,3000,651,1332
65,182,576,1400,576,536.5
40,100,332,1950,620,952.3
40,32,116,585,753,289
28,235,561,7080,732,3935
28,80,212,2800,850,1997
28,150,212,2800,950,2432
28,50,77,950,730,599
28,45,77,950,600,460.8
28,275,438,6200,947,4849
7,130,158,6400,1607,5196
40,35,238,1170,590,339.8
28,12,116,585,625,120
55,30,67,181,800,64
14,35,103,2200,925,1248
28,165,398,5200,1127,4981
16,75,314,7200,886,5704
65,125,324,754,600,336
40,11,104,716,450,360
14,345,495,12500,1406,13740
40,30,104,627,650,520
40,33,118,716,600,576
40,33,118,716,500,480
28,40,148,1870,993,1017
28,50,125,1550,730,786.4
40,35,67,370,775,248
28,15,110,1178,450,115.2
14,230,495,12500,852,10750
28,33,116,585,775,297.6
